data,inicio,fim,titulo,local,participantes
2021-03-22,15h10,15h40,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-22,16h00,16h30,Assinatura do Decreto que regulamenta o novo Fundeb; e Sanção do Projeto de Lei 1615/2019 -  que trata da visão monocular,Palácio do Planalto,
2021-03-23,11h30,12h00,Fábio Faria -  Ministro de Estado das Comunicações,Palácio do Planalto,
2021-03-23,14h30,15h00,Fábio Rodrigues da Silva -  Diretor do Kadoshi Contabilidade Eclesiástica,Palácio do Planalto,Paulo Guedes -  Ministro de Estado da Economia;;Deputado Cezinha de Madureira (PDS/SP);;Deputado Sóstenes Cavalcante (DEM/RJ);;Deputado Júlio César Ribeiro (REPUBLICANOS/DF);;Deputado Pr. Marco Feliciano (REPUBLICANOS/SP);;Deputado João Campos (REPUBLICANOS/GO);;Deputado Silas Câmara (REPUBLICANOS/AM);;Deputado Otoni de Paula (PSC/RJ); e;José Barroso Tostes -  Secretário Especial da Receita Federal do Ministério da Economia.
2021-03-23,15h40,16h00,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,José Levi Mello do Amaral Júnior -  Advogado-Geral da União; e;Renata Gil de Alcântara Videira -  Presidente da Associação Brasileira de Magistrados – AMB.
2021-03-23,16h00,16h35,Murillo Corrêa Barbosa -  Diretor-Presidente da Associação de Terminais Portuários Privados - ATP,Palácio do Planalto,Tarcísio Gomes de Freitas -  Ministro de Estado da Infraestrutura;;Sérgio Salomão -  Presidente da Associação Brasileira dos Terminais de Contêineres - ABRATEC;;Osmari de Castilho Ribas -  Diretor superintendente da Portonave S/A;;Carlos Helmut Kopittke -  Presidente da Diretoria Executiva da Associação Brasileira de Terminais de Líquidos - ABTL;;Jesualdo Conceição da Silva -  Diretor-Presidente da Associação Brasileira dos Terminais Portuários - ABTP;;Eliézer da Costa Giroux -  Titular do Conselho Deliberativo da Associação Brasileira dos Terminais Portuários - ABTP;;Bayard Freitas Umbuzeiro Filho -  Presidente da Associação Brasileira de Terminais e Recintos Alfandegados - ABTRA;;Angelino Caputo e Oliveira -  Diretor Executivo da Associação Brasileira de Terminais e Recintos Alfandegados - ABTRA;;Luciana Cardoso Guerise -  Diretora Executiva da Associação de Terminais Portuários Privados - ATP;;Sérgio Paulo Perrucci de Aquino -  Presidente da Federação Nacional das Operações Portuárias – FENOP; e;Manoel Carvalho Ferreira da Silva Júnior -  Vice-Presidente da Federação Nacional das Operações Portuárias – FENOP.
2021-03-23,16h35,17h00,Apóstolo César Augusto -  Presidente da Igreja Apostólica Fonte da Vida,Palácio do Planalto,Pastor Fábio Souza
2021-03-24,08h00,11h00,Hamilton Mourão -  Vice-Presidente da República; Rodrigo Pacheco -  Presidente do Senado Federal; Arthur Lira -  Presidente da Câmara dos Deputados; e Luiz Fux -  Presidente do Supremo Tribunal Federal,Palácio da Alvorada,Sérgio José Pereira -  Ministro-Chefe da Casa Civil da Presidência da República -  substituto;;André Luiz de Almeida -  Ministro de Estado da Justiça e Segurança Pública;;Fernando Azevedo -  Ministro de Estado da Defesa;;Ernesto Araújo -  Ministro de Estado das Relações Exteriores;;Paulo Guedes -  Ministro de Estado da Economia;Tarcísio Gomes de Freitas -  Ministro de Estado da Infraestrutura;;Milton Ribeiro -  Ministro de Estado da Educação;João Roma -  Ministro de Estado da Cidadania;;Marcelo Queiroga -  Ministro de Estado da Saúde;;Bento Albuquerque -  Ministro de Estado de Minas e Energia;;Fábio Faria -  Ministro de Estado das Comunicações;;Marcos Pontes -  Ministro de Estado da Ciência -  Tecnologia e Inovações;;Ricardo Salles -  Ministro de Estado do Meio Ambiente;;Gilson Machado -  Ministro de Estado do Turismo;;Wagner Rosário -  Ministro de Estado da Controladoria-Geral da União;;Damares Alves -  Ministra de Estado da Mulher -  da Família e dos Direitos Humanos;;Onyx Lorenzoni -  Ministro-Chefe da Secretaria-Geral da Presidência da República;;Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República;;Augusto Heleno -  Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República;;José Levi Mello do Amaral Júnior -  Advogado-Geral da União;;Roberto Campos Neto -  Presidente do Banco Central;;Augusto Aras -  Procurador-Geral da República;;Cláudio Castro -  Governador em exercício do estado do Rio de Janeiro;;Romeu Zema Neto -  Governador do estado de Minas Gerais;;Ronaldo Caiado -  Governador do estado de Goiás;;José Renan Vasconcelos Calheiros Filho -  Governador do estado de Alagoas;;Wilson Miranda Lima -  Governador do estado do Amazonas;;Carlos Massa Ratinho Júnior -  Governador do estado do Paraná;;Coronel Marcos Rocha -  Governador do estado de Rondônia; e;Ministro Bruno Dantas -  Vice-Presidente do Tribunal de Contas da União.
2021-03-24,11h20,11h50,Deputado Francisco Junior (PSD/GO) -  Presidente da Frente Parlamentar Mista Católica Apostólica Romana; e Dom Paulo Cezar Costa -  Arcebispo de Brasília,Palácio do Planalto,José Levi Mello do Amaral Júnior -  Advogado-Geral da União;;Ives Gandra da Silva Martins Filho -  Ministro do Tribunal Superior do Trabalho;;Dom Marcony Vinícius Ferreira -  Bispo auxiliar de Brasília;;Dom José Aparecido -  Bispo auxiliar de Brasília.
2021-03-24,14h30,15h00,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República,Palácio do Planalto,Augusto Heleno -  Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República;;Marcelo Augusto Xavier da Silva -  Presidente da Fundação Nacional do Índio – FUNAI;;Roberto Paranhos do Rio Branco -  Presidente da Câmara de Comércio Brasil Índia;;Cacique Niti Kayapó -  Presidente da Associação Cacique Coronel Tuto Pombo;;Xerê Kayapó -  Ex-Vereador e Cacique na aldeia Gorotire;;Bep Torin Kayapó -  Cacique na aldeia Moidjam;;Nhaka-ê Kayapó -  Cacica na aldeia Kikretum;;Kokomati Kayapó -  Cacique na aldeia Gorotire;;João Sidnei Gessi -  Empresário;;Diogo Matté Amaro -  médico voluntário; e;Sr. Bebyry Kayapó
